a,curr,opp_name,game_result,pts,opp_pts,wins,losses,game_streak
0,ATL,Dallas Mavericks,W,113,87,1,0,W 1
1,ATL,Cleveland Cavaliers,L,95,101,1,1,L 1
2,ATL,Detroit Pistons,W,122,104,2,1,W 1
3,ATL,New Orleans Pelicans,W,102,99,3,1,W 2
4,ATL,Washington Wizards,L,111,122,3,2,L 1
5,ATL,Philadelphia 76ers,L,94,122,3,3,L 2
6,ATL,Washington Wizards,W,118,111,4,3,W 1
7,ATL,Brooklyn Nets,L,108,117,4,4,L 1
8,ATL,Utah Jazz,L,98,116,4,5,L 2
9,ATL,Phoenix Suns,L,117,121,4,6,L 3
10,ATL,Golden State Warriors,L,113,127,4,7,L 4
11,ATL,Utah Jazz,L,98,110,4,8,L 5
12,ATL,Denver Nuggets,L,96,105,4,9,L 6
13,ATL,Milwaukee Bucks,W,120,100,5,9,W 1
14,ATL,Orlando Magic,W,129,111,6,9,W 2
15,ATL,Boston Celtics,W,110,99,7,9,W 3
16,ATL,Charlotte Hornets,W,115,105,8,9,W 4
17,ATL,Oklahoma City Thunder,W,113,101,9,9,W 5
18,ATL,San Antonio Spurs,W,124,106,10,9,W 6
19,ATL,Memphis Grizzlies,W,132,100,11,9,W 7
20,ATL,New York Knicks,L,90,99,11,10,L 1
21,ATL,Indiana Pacers,W,114,111,12,10,W 1
22,ATL,Philadelphia 76ers,L,96,98,12,11,L 1
23,ATL,Charlotte Hornets,L,127,130,12,12,L 2
24,ATL,Minnesota Timberwolves,W,121,110,13,12,W 1
25,ATL,Brooklyn Nets,L,105,113,13,13,L 1
26,ATL,Houston Rockets,L,126,132,13,14,L 2
27,ATL,Orlando Magic,W,111,99,14,14,W 1
28,ATL,Denver Nuggets,L,115,133,14,15,L 1
29,ATL,Orlando Magic,L,98,104,14,16,L 2
30,ATL,Philadelphia 76ers,W,98,96,15,16,W 1
31,ATL,New York Knicks,L,87,101,15,17,L 1
32,ATL,Chicago Bulls,L,118,130,15,18,L 2
33,ATL,Chicago Bulls,L,117,131,15,19,L 3
34,ATL,Cleveland Cavaliers,W,121,118,16,19,W 1
35,ATL,Portland Trail Blazers,L,131,136,16,20,L 1
36,ATL,Sacramento Kings,W,108,102,17,20,W 1
37,ATL,Los Angeles Lakers,L,118,134,17,21,L 1
38,ATL,Los Angeles Clippers,L,93,106,17,22,L 2
39,ATL,Miami Heat,L,91,115,17,23,L 3
40,ATL,Miami Heat,L,118,124,17,24,L 4
41,ATL,New York Knicks,L,108,117,17,25,L 5
42,ATL,Milwaukee Bucks,W,121,114,18,25,W 1
43,ATL,Minnesota Timberwolves,W,134,122,19,25,W 2
44,ATL,Miami Heat,W,110,108,20,25,W 3
45,ATL,Charlotte Hornets,W,113,91,21,25,W 4
46,ATL,Sacramento Kings,W,121,104,22,25,W 5
47,ATL,Boston Celtics,W,108,92,23,25,W 6
48,ATL,Los Angeles Lakers,W,129,121,24,25,W 7
49,ATL,Toronto Raptors,L,100,106,24,26,L 1
50,ATL,Phoenix Suns,W,124,115,25,26,W 1
51,ATL,Toronto Raptors,L,114,125,25,27,L 1
52,ATL,Dallas Mavericks,L,94,103,25,28,L 2
53,ATL,Indiana Pacers,W,133,112,26,28,W 1
54,ATL,San Antonio Spurs,L,121,136,26,29,L 1
55,ATL,Boston Celtics,L,95,105,26,30,L 2
56,ATL,Cleveland Cavaliers,W,124,116,27,30,W 1
57,ATL,Orlando Magic,W,130,109,28,30,W 2
58,ATL,Chicago Bulls,L,108,112,28,31,L 1
59,ATL,Toronto Raptors,W,127,100,29,31,W 1
60,ATL,Boston Celtics,L,98,107,29,32,L 1
61,ATL,Chicago Bulls,W,130,124,30,32,W 1
62,ATL,Washington Wizards,W,117,114,31,32,W 2
63,ATL,Detroit Pistons,L,110,113,31,33,L 1
64,ATL,Milwaukee Bucks,L,115,124,31,34,L 2
65,ATL,Los Angeles Clippers,W,112,106,32,34,W 1
66,ATL,Indiana Pacers,W,131,128,33,34,W 2
67,ATL,Portland Trail Blazers,W,122,113,34,34,W 3
68,ATL,Charlotte Hornets,L,106,116,34,35,L 1
69,ATL,Memphis Grizzlies,W,120,105,35,35,W 1
70,ATL,New Orleans Pelicans,L,112,117,35,36,L 1
71,ATL,New York Knicks,W,117,111,36,36,W 1
72,ATL,Detroit Pistons,L,101,122,36,37,L 1
73,ATL,Golden State Warriors,W,121,110,37,37,W 1
74,ATL,Indiana Pacers,W,132,123,38,37,W 2
75,ATL,Oklahoma City Thunder,W,136,118,39,37,W 3
76,ATL,Cleveland Cavaliers,W,131,107,40,37,W 4
77,ATL,Brooklyn Nets,W,122,115,41,37,W 5
78,ATL,Toronto Raptors,L,108,118,41,38,L 1
79,ATL,Washington Wizards,W,118,103,42,38,W 1
80,ATL,Miami Heat,L,109,113,42,39,L 1
81,ATL,Houston Rockets,W,130,114,43,39,W 1
82,ATL,Charlotte Hornets,W,132,103,44,39,W 2
83,ATL,Cleveland Cavaliers,W,107,101,45,39,W 3
84,BRK,Milwaukee Bucks,L,104,127,0,1,L 1
85,BRK,Philadelphia 76ers,W,114,109,1,1,W 1
86,BRK,Charlotte Hornets,L,95,111,1,2,L 1
87,BRK,Washington Wizards,W,104,90,2,2,W 1
88,BRK,Miami Heat,L,93,106,2,3,L 1
89,BRK,Indiana Pacers,W,105,98,3,3,W 1
90,BRK,Detroit Pistons,W,117,91,4,3,W 2
91,BRK,Atlanta Hawks,W,117,108,5,3,W 3
92,BRK,Detroit Pistons,W,96,90,6,3,W 4
93,BRK,Toronto Raptors,W,116,103,7,3,W 5
94,BRK,Chicago Bulls,L,95,118,7,4,L 1
95,BRK,Orlando Magic,W,123,90,8,4,W 1
96,BRK,New Orleans Pelicans,W,120,112,9,4,W 2
97,BRK,Oklahoma City Thunder,W,120,96,10,4,W 3
98,BRK,Golden State Warriors,L,99,117,10,5,L 1
99,BRK,Cleveland Cavaliers,W,109,99,11,5,W 1
100,BRK,Orlando Magic,W,115,113,12,5,W 2
101,BRK,Cleveland Cavaliers,W,117,112,13,5,W 3
102,BRK,Boston Celtics,W,123,104,14,5,W 4
103,BRK,Phoenix Suns,L,107,113,14,6,L 1
104,BRK,New York Knicks,W,112,110,15,6,W 1
105,BRK,Minnesota Timberwolves,W,110,105,16,6,W 2
106,BRK,Chicago Bulls,L,107,111,16,7,L 1
107,BRK,Dallas Mavericks,W,102,99,17,7,W 1
108,BRK,Houston Rockets,L,104,114,17,8,L 1
109,BRK,Atlanta Hawks,W,113,105,18,8,W 1
110,BRK,Detroit Pistons,W,116,104,19,8,W 2
111,BRK,Toronto Raptors,W,131,129,20,8,W 3
112,BRK,Philadelphia 76ers,W,114,105,21,8,W 4
113,BRK,Orlando Magic,L,93,100,21,9,L 1
114,BRK,Los Angeles Lakers,W,122,115,22,9,W 1
115,BRK,Los Angeles Clippers,W,124,108,23,9,W 2
116,BRK,Philadelphia 76ers,L,102,110,23,10,L 1
117,BRK,Los Angeles Clippers,L,116,120,23,11,L 2
118,BRK,Memphis Grizzlies,L,104,118,23,12,L 3
119,BRK,Indiana Pacers,W,129,121,24,12,W 1
120,BRK,Milwaukee Bucks,L,109,121,24,13,L 1
121,BRK,San Antonio Spurs,W,121,119,25,13,W 1
122,BRK,Portland Trail Blazers,L,108,114,25,14,L 1
123,BRK,Chicago Bulls,W,138,112,26,14,W 1
124,BRK,Oklahoma City Thunder,L,109,130,26,15,L 1
125,BRK,New Orleans Pelicans,W,120,105,27,15,W 1
126,BRK,Cleveland Cavaliers,L,107,114,27,16,L 1
127,BRK,Washington Wizards,W,119,118,28,16,W 1
128,BRK,San Antonio Spurs,W,117,102,29,16,W 2
129,BRK,Minnesota Timberwolves,L,125,136,29,17,L 1
130,BRK,Los Angeles Lakers,L,96,106,29,18,L 2
131,BRK,Denver Nuggets,L,118,124,29,19,L 3
132,BRK,Golden State Warriors,L,106,110,29,20,L 4
133,BRK,Phoenix Suns,L,111,121,29,21,L 5
134,BRK,Sacramento Kings,L,101,112,29,22,L 6
135,BRK,Utah Jazz,L,102,125,29,23,L 7
136,BRK,Denver Nuggets,L,104,124,29,24,L 8
137,BRK,Boston Celtics,L,91,126,29,25,L 9
138,BRK,Washington Wizards,L,112,113,29,26,L 10
139,BRK,Miami Heat,L,111,115,29,27,L 11
140,BRK,Sacramento Kings,W,109,85,30,27,W 1
141,BRK,New York Knicks,W,111,106,31,27,W 2
142,BRK,Washington Wizards,L,103,117,31,28,L 1
143,BRK,Boston Celtics,L,106,129,31,29,L 2
144,BRK,Milwaukee Bucks,W,126,123,32,29,W 1
145,BRK,Toronto Raptors,L,97,133,32,30,L 1
146,BRK,Toronto Raptors,L,108,109,32,31,L 2
147,BRK,Miami Heat,L,107,113,32,32,L 3
148,BRK,Boston Celtics,L,120,126,32,33,L 4
149,BRK,Charlotte Hornets,W,132,121,33,33,W 1
150,BRK,Philadelphia 76ers,W,129,100,34,33,W 2
151,BRK,New York Knicks,W,110,107,35,33,W 3
152,BRK,Orlando Magic,W,150,108,36,33,W 4
153,BRK,Dallas Mavericks,L,111,113,36,34,L 1
154,BRK,Portland Trail Blazers,W,128,123,37,34,W 1
155,BRK,Utah Jazz,W,114,106,38,34,W 2
156,BRK,Memphis Grizzlies,L,120,132,38,35,L 1
157,BRK,Miami Heat,W,110,95,39,35,W 1
158,BRK,Charlotte Hornets,L,110,119,39,36,L 1
159,BRK,Detroit Pistons,W,130,123,40,36,W 1
160,BRK,Milwaukee Bucks,L,119,120,40,37,L 1
161,BRK,Atlanta Hawks,L,115,122,40,38,L 2
162,BRK,Houston Rockets,W,118,105,41,38,W 1
163,BRK,New York Knicks,W,110,98,42,38,W 2
164,BRK,Cleveland Cavaliers,W,118,107,43,38,W 3
165,BRK,Indiana Pacers,W,134,126,44,38,W 4
166,BRK,Cleveland Cavaliers,W,115,108,45,38,W 5
167,BOS,New York Knicks,L,134,138,0,1,L 1
168,BOS,Toronto Raptors,L,83,115,0,2,L 2
169,BOS,Houston Rockets,W,107,97,1,2,W 1
170,BOS,Charlotte Hornets,W,140,129,2,2,W 2
171,BOS,Washington Wizards,L,107,116,2,3,L 1
172,BOS,Washington Wizards,L,112,115,2,4,L 2
173,BOS,Chicago Bulls,L,114,128,2,5,L 3
174,BOS,Orlando Magic,W,92,79,3,5,W 1
175,BOS,Miami Heat,W,95,78,4,5,W 2
176,BOS,Dallas Mavericks,L,104,107,4,6,L 1
177,BOS,Toronto Raptors,W,104,88,5,6,W 1
178,BOS,Milwaukee Bucks,W,122,113,6,6,W 2
179,BOS,Cleveland Cavaliers,L,89,91,6,7,L 1
180,BOS,Cleveland Cavaliers,W,98,92,7,7,W 1
181,BOS,Atlanta Hawks,L,99,110,7,8,L 1
182,BOS,Los Angeles Lakers,W,130,108,8,8,W 1
183,BOS,Oklahoma City Thunder,W,111,105,9,8,W 2
184,BOS,Houston Rockets,W,108,90,10,8,W 3
185,BOS,Brooklyn Nets,L,104,123,10,9,L 1
186,BOS,San Antonio Spurs,L,88,96,10,10,L 2
187,BOS,Toronto Raptors,W,109,97,11,10,W 1
188,BOS,Philadelphia 76ers,W,88,87,12,10,W 2
189,BOS,Utah Jazz,L,130,137,12,11,L 1
190,BOS,Portland Trail Blazers,W,145,117,13,11,W 1
191,BOS,Los Angeles Lakers,L,102,117,13,12,L 1
192,BOS,Los Angeles Clippers,L,111,114,13,13,L 2
193,BOS,Phoenix Suns,L,90,111,13,14,L 3
194,BOS,Milwaukee Bucks,W,117,103,14,14,W 1
195,BOS,Golden State Warriors,L,107,111,14,15,L 1
196,BOS,New York Knicks,W,114,107,15,15,W 1
197,BOS,Philadelphia 76ers,L,103,108,15,16,L 1
198,BOS,Cleveland Cavaliers,W,111,101,16,16,W 1
199,BOS,Milwaukee Bucks,L,113,117,16,17,L 1
200,BOS,Minnesota Timberwolves,L,103,108,16,18,L 2
201,BOS,Los Angeles Clippers,L,82,91,16,19,L 3
202,BOS,Phoenix Suns,W,123,108,17,19,W 1
203,BOS,Orlando Magic,W,116,111,18,19,W 2
204,BOS,San Antonio Spurs,L,97,99,18,20,L 1
205,BOS,New York Knicks,L,105,108,18,21,L 2
206,BOS,New York Knicks,W,99,75,19,21,W 1
207,BOS,Indiana Pacers,W,101,98,20,21,W 2
208,BOS,Indiana Pacers,W,119,100,21,21,W 3
209,BOS,Philadelphia 76ers,L,99,111,21,22,L 1
210,BOS,Chicago Bulls,W,114,112,22,22,W 1
211,BOS,New Orleans Pelicans,W,104,92,23,22,W 2
212,BOS,Charlotte Hornets,L,102,111,23,23,L 1
213,BOS,Portland Trail Blazers,L,105,109,23,24,L 2
214,BOS,Washington Wizards,W,116,87,24,24,W 1
215,BOS,Sacramento Kings,W,128,75,25,24,W 2
216,BOS,Atlanta Hawks,L,92,108,25,25,L 1
217,BOS,New Orleans Pelicans,W,107,97,26,25,W 1
218,BOS,Miami Heat,W,122,92,27,25,W 2
219,BOS,Charlotte Hornets,W,113,107,28,25,W 3
220,BOS,Detroit Pistons,W,102,93,29,25,W 4
221,BOS,Orlando Magic,W,116,83,30,25,W 5
222,BOS,Brooklyn Nets,W,126,91,31,25,W 6
223,BOS,Denver Nuggets,W,108,102,32,25,W 7
224,BOS,Atlanta Hawks,W,105,95,33,25,W 8
225,BOS,Philadelphia 76ers,W,135,87,34,25,W 9
226,BOS,Detroit Pistons,L,111,112,34,26,L 1
227,BOS,Brooklyn Nets,W,129,106,35,26,W 1
228,BOS,Detroit Pistons,W,113,104,36,26,W 2
229,BOS,Indiana Pacers,L,107,128,36,27,L 1
230,BOS,Atlanta Hawks,W,107,98,37,27,W 1
231,BOS,Memphis Grizzlies,W,120,107,38,27,W 2
232,BOS,Brooklyn Nets,W,126,120,39,27,W 3
233,BOS,Charlotte Hornets,W,115,101,40,27,W 4
234,BOS,Detroit Pistons,W,114,103,41,27,W 5
235,BOS,Dallas Mavericks,L,92,95,41,28,L 1
236,BOS,Golden State Warriors,W,110,88,42,28,W 1
237,BOS,Sacramento Kings,W,126,97,43,28,W 2
238,BOS,Denver Nuggets,W,124,104,44,28,W 3
239,BOS,Oklahoma City Thunder,W,132,123,45,28,W 4
240,BOS,Utah Jazz,W,125,97,46,28,W 5
241,BOS,Minnesota Timberwolves,W,134,112,47,28,W 6
242,BOS,Toronto Raptors,L,112,115,47,29,L 1
243,BOS,Miami Heat,L,98,106,47,30,L 2
244,BOS,Indiana Pacers,W,128,123,48,30,W 1
245,BOS,Washington Wizards,W,144,102,49,30,W 2
246,BOS,Chicago Bulls,W,117,94,50,30,W 3
247,BOS,Milwaukee Bucks,L,121,127,50,31,L 1
248,BOS,Memphis Grizzlies,W,139,110,51,31,W 1
249,CHO,Indiana Pacers,W,123,122,1,0,W 1
250,CHO,Cleveland Cavaliers,W,123,112,2,0,W 2
251,CHO,Brooklyn Nets,W,111,95,3,0,W 3
252,CHO,Boston Celtics,L,129,140,3,1,L 1
253,CHO,Orlando Magic,W,120,111,4,1,W 1
254,CHO,Miami Heat,L,99,114,4,2,L 1
255,CHO,Portland Trail Blazers,W,125,113,5,2,W 1
256,CHO,Cleveland Cavaliers,L,110,113,5,3,L 1
257,CHO,Golden State Warriors,L,92,114,5,4,L 2
258,CHO,Sacramento Kings,L,110,140,5,5,L 3
259,CHO,Los Angeles Clippers,L,106,120,5,6,L 4
260,CHO,Los Angeles Lakers,L,123,126,5,7,L 5
261,CHO,Memphis Grizzlies,W,118,108,6,7,W 1
262,CHO,New York Knicks,W,104,96,7,7,W 2
263,CHO,Golden State Warriors,W,106,102,8,7,W 3
264,CHO,Washington Wizards,W,97,87,9,7,W 4
265,CHO,Indiana Pacers,W,121,118,10,7,W 5
266,CHO,Atlanta Hawks,L,105,115,10,8,L 1
267,CHO,Washington Wizards,W,109,103,11,8,W 1
268,CHO,Orlando Magic,W,106,99,12,8,W 2
269,CHO,Minnesota Timberwolves,W,133,115,13,8,W 3
270,CHO,Houston Rockets,L,143,146,13,9,L 1
271,CHO,Chicago Bulls,L,119,133,13,10,L 2
272,CHO,Milwaukee Bucks,L,125,127,13,11,L 3
273,CHO,Atlanta Hawks,W,130,127,14,11,W 1
274,CHO,Philadelphia 76ers,L,124,127,14,12,L 1
275,CHO,Philadelphia 76ers,L,106,110,14,13,L 2
276,CHO,Sacramento Kings,W,124,123,15,13,W 1
277,CHO,Dallas Mavericks,L,96,120,15,14,L 1
278,CHO,San Antonio Spurs,W,131,115,16,14,W 1
279,CHO,Portland Trail Blazers,L,116,125,16,15,L 1
280,CHO,Phoenix Suns,L,106,137,16,16,L 2
281,CHO,Utah Jazz,L,102,112,16,17,L 3
282,CHO,Denver Nuggets,W,115,107,17,17,W 1
283,CHO,Houston Rockets,W,123,99,18,17,W 2
284,CHO,Indiana Pacers,W,116,108,19,17,W 3
285,CHO,Phoenix Suns,L,99,133,19,18,L 1
286,CHO,Washington Wizards,L,121,124,19,19,L 2
287,CHO,Detroit Pistons,W,140,111,20,19,W 1
288,CHO,Milwaukee Bucks,W,114,106,21,19,W 2
289,CHO,Milwaukee Bucks,W,103,99,22,19,W 3
290,CHO,Philadelphia 76ers,W,109,98,23,19,W 4
291,CHO,Orlando Magic,L,109,116,23,20,L 1
292,CHO,New York Knicks,W,97,87,24,20,W 1
293,CHO,Boston Celtics,W,111,102,25,20,W 2
294,CHO,Oklahoma City Thunder,W,121,98,26,20,W 3
295,CHO,Atlanta Hawks,L,91,113,26,21,L 1
296,CHO,Toronto Raptors,L,113,125,26,22,L 2
297,CHO,Indiana Pacers,W,158,126,27,22,W 1
298,CHO,Los Angeles Lakers,W,117,114,28,22,W 2
299,CHO,Los Angeles Clippers,L,90,115,28,23,L 1
300,CHO,Boston Celtics,L,107,113,28,24,L 2
301,CHO,Cleveland Cavaliers,L,101,102,28,25,L 3
302,CHO,Miami Heat,L,86,104,28,26,L 4
303,CHO,Toronto Raptors,L,101,116,28,27,L 5
304,CHO,Chicago Bulls,L,109,121,28,28,L 6
305,CHO,Detroit Pistons,W,141,119,29,28,W 1
306,CHO,Memphis Grizzlies,L,118,125,29,29,L 1
307,CHO,Minnesota Timberwolves,L,120,126,29,30,L 2
308,CHO,Miami Heat,L,107,111,29,31,L 3
309,CHO,Toronto Raptors,W,125,93,30,31,W 1
310,CHO,Detroit Pistons,L,126,127,30,32,L 1
311,CHO,Milwaukee Bucks,L,106,130,30,33,L 2
312,CHO,Cleveland Cavaliers,W,119,98,31,33,W 1
313,CHO,San Antonio Spurs,W,123,117,32,33,W 2
314,CHO,Brooklyn Nets,L,121,132,32,34,L 1
315,CHO,Boston Celtics,L,101,115,32,35,L 2
316,CHO,New Orleans Pelicans,W,142,120,33,35,W 1
317,CHO,Oklahoma City Thunder,W,134,116,34,35,W 2
318,CHO,Atlanta Hawks,W,116,106,35,35,W 3
319,CHO,Dallas Mavericks,W,129,108,36,35,W 4
320,CHO,New Orleans Pelicans,W,106,103,37,35,W 5
321,CHO,New York Knicks,L,106,121,37,36,L 1
322,CHO,Utah Jazz,W,107,101,38,36,W 1
323,CHO,Brooklyn Nets,W,119,110,39,36,W 2
324,CHO,Denver Nuggets,L,109,113,39,37,L 1
325,CHO,New York Knicks,W,125,114,40,37,W 1
326,CHO,Philadelphia 76ers,L,114,144,40,38,L 1
327,CHO,Miami Heat,L,115,144,40,39,L 2
328,CHO,Orlando Magic,W,128,101,41,39,W 1
329,CHO,Chicago Bulls,W,133,117,42,39,W 2
330,CHO,Washington Wizards,W,124,108,43,39,W 3
331,CHO,Atlanta Hawks,L,103,132,43,40,L 1
332,CHI,Detroit Pistons,W,94,88,1,0,W 1
333,CHI,New Orleans Pelicans,W,128,112,2,0,W 2
334,CHI,Detroit Pistons,W,97,82,3,0,W 3
335,CHI,Toronto Raptors,W,111,108,4,0,W 4
336,CHI,New York Knicks,L,103,104,4,1,L 1
337,CHI,Utah Jazz,W,107,99,5,1,W 1
338,CHI,Boston Celtics,W,128,114,6,1,W 2
339,CHI,Philadelphia 76ers,L,98,103,6,2,L 1
340,CHI,Philadelphia 76ers,L,105,114,6,3,L 2
341,CHI,Brooklyn Nets,W,118,95,7,3,W 1
342,CHI,Dallas Mavericks,W,117,107,8,3,W 2
343,CHI,Golden State Warriors,L,93,119,8,4,L 1
344,CHI,Los Angeles Clippers,W,100,90,9,4,W 1
345,CHI,Los Angeles Lakers,W,121,103,10,4,W 2
346,CHI,Portland Trail Blazers,L,107,112,10,5,L 1
347,CHI,Denver Nuggets,W,114,108,11,5,W 1
348,CHI,New York Knicks,W,109,103,12,5,W 2
349,CHI,Indiana Pacers,L,77,109,12,6,L 1
350,CHI,Houston Rockets,L,113,118,12,7,L 2
351,CHI,Orlando Magic,W,123,88,13,7,W 1
352,CHI,Miami Heat,L,104,107,13,8,L 1
353,CHI,Charlotte Hornets,W,133,119,14,8,W 1
354,CHI,New York Knicks,W,119,115,15,8,W 2
355,CHI,Brooklyn Nets,W,111,107,16,8,W 3
356,CHI,Denver Nuggets,W,109,97,17,8,W 4
357,CHI,Cleveland Cavaliers,L,92,115,17,9,L 1
358,CHI,Miami Heat,L,92,118,17,10,L 2
359,CHI,Los Angeles Lakers,W,115,110,18,10,W 1
360,CHI,Houston Rockets,W,133,118,19,10,W 2
361,CHI,Indiana Pacers,W,113,105,20,10,W 3
362,CHI,Atlanta Hawks,W,130,118,21,10,W 4
363,CHI,Atlanta Hawks,W,131,117,22,10,W 5
364,CHI,Indiana Pacers,W,108,106,23,10,W 6
365,CHI,Washington Wizards,W,120,119,24,10,W 7
366,CHI,Orlando Magic,W,102,98,25,10,W 8
367,CHI,Washington Wizards,W,130,122,26,10,W 9
368,CHI,Dallas Mavericks,L,99,113,26,11,L 1
369,CHI,Detroit Pistons,W,133,87,27,11,W 1
370,CHI,Brooklyn Nets,L,112,138,27,12,L 1
371,CHI,Golden State Warriors,L,96,138,27,13,L 2
372,CHI,Boston Celtics,L,112,114,27,14,L 3
373,CHI,Memphis Grizzlies,L,106,119,27,15,L 4
374,CHI,Cleveland Cavaliers,W,117,104,28,15,W 1
375,CHI,Milwaukee Bucks,L,90,94,28,16,L 1
376,CHI,Orlando Magic,L,95,114,28,17,L 2
377,CHI,Oklahoma City Thunder,W,111,110,29,17,W 1
378,CHI,Toronto Raptors,W,111,105,30,17,W 2
379,CHI,San Antonio Spurs,L,122,131,30,18,L 1
380,CHI,Portland Trail Blazers,W,130,116,31,18,W 1
381,CHI,Orlando Magic,W,126,115,32,18,W 2
382,CHI,Toronto Raptors,L,120,127,32,19,L 1
383,CHI,Indiana Pacers,W,122,115,33,19,W 1
384,CHI,Philadelphia 76ers,L,108,119,33,20,L 1
385,CHI,Phoenix Suns,L,124,127,33,21,L 2
386,CHI,Charlotte Hornets,W,121,109,34,21,W 1
387,CHI,Minnesota Timberwolves,W,134,122,35,21,W 2
388,CHI,Oklahoma City Thunder,W,106,101,36,21,W 3
389,CHI,San Antonio Spurs,W,120,109,37,21,W 4
390,CHI,Sacramento Kings,W,125,118,38,21,W 5
391,CHI,Atlanta Hawks,W,112,108,39,21,W 6
392,CHI,Memphis Grizzlies,L,110,116,39,22,L 1
393,CHI,Miami Heat,L,99,112,39,23,L 2
394,CHI,Atlanta Hawks,L,124,130,39,24,L 3
395,CHI,Milwaukee Bucks,L,112,118,39,25,L 4
396,CHI,Philadelphia 76ers,L,106,121,39,26,L 5
397,CHI,Detroit Pistons,W,114,108,40,26,W 1
398,CHI,Cleveland Cavaliers,W,101,91,41,26,W 2
399,CHI,Sacramento Kings,L,103,112,41,27,L 1
400,CHI,Utah Jazz,L,110,125,41,28,L 2
401,CHI,Phoenix Suns,L,102,129,41,29,L 3
402,CHI,Toronto Raptors,W,113,99,42,29,W 1
403,CHI,Milwaukee Bucks,L,98,126,42,30,L 1
404,CHI,New Orleans Pelicans,L,109,126,42,31,L 2
405,CHI,Cleveland Cavaliers,W,98,94,43,31,W 1
406,CHI,New York Knicks,L,104,109,43,32,L 1
407,CHI,Washington Wizards,W,107,94,44,32,W 1
408,CHI,Los Angeles Clippers,W,135,130,45,32,W 2
409,CHI,Miami Heat,L,109,127,45,33,L 1
410,CHI,Milwaukee Bucks,L,106,127,45,34,L 2
411,CHI,Boston Celtics,L,94,117,45,35,L 3
412,CHI,Charlotte Hornets,L,117,133,45,36,L 4
413,CHI,Minnesota Timberwolves,W,124,120,46,36,W 1
414,CLE,Memphis Grizzlies,L,121,132,0,1,L 1
415,CLE,Charlotte Hornets,L,112,123,0,2,L 2
416,CLE,Atlanta Hawks,W,101,95,1,2,W 1
417,CLE,Denver Nuggets,W,99,87,2,2,W 2
418,CLE,Los Angeles Clippers,W,92,79,3,2,W 3
419,CLE,Los Angeles Lakers,L,101,113,3,3,L 1
420,CLE,Phoenix Suns,L,92,101,3,4,L 2
421,CLE,Charlotte Hornets,W,113,110,4,4,W 1
422,CLE,Portland Trail Blazers,W,107,104,5,4,W 2
423,CLE,Toronto Raptors,W,102,101,6,4,W 3
424,CLE,New York Knicks,W,126,109,7,4,W 4
425,CLE,Washington Wizards,L,94,97,7,5,L 1
426,CLE,Detroit Pistons,W,98,78,8,5,W 1
427,CLE,Boston Celtics,W,91,89,9,5,W 2
428,CLE,Boston Celtics,L,92,98,9,6,L 1
429,CLE,Brooklyn Nets,L,99,109,9,7,L 2
430,CLE,Golden State Warriors,L,89,104,9,8,L 3
431,CLE,Brooklyn Nets,L,112,117,9,9,L 4
432,CLE,Phoenix Suns,L,115,120,9,10,L 5
433,CLE,Orlando Magic,W,105,92,10,10,W 1
434,CLE,Dallas Mavericks,W,114,96,11,10,W 2
435,CLE,Miami Heat,W,111,85,12,10,W 3
436,CLE,Washington Wizards,W,116,101,13,10,W 4
437,CLE,Utah Jazz,L,108,109,13,11,L 1
438,CLE,Milwaukee Bucks,L,104,112,13,12,L 2
439,CLE,Chicago Bulls,W,115,92,14,12,W 1
440,CLE,Minnesota Timberwolves,W,123,106,15,12,W 2
441,CLE,Sacramento Kings,W,117,103,16,12,W 3
442,CLE,Miami Heat,W,105,94,17,12,W 4
443,CLE,Houston Rockets,W,124,89,18,12,W 5
444,CLE,Milwaukee Bucks,W,119,90,19,12,W 6
445,CLE,Boston Celtics,L,101,111,19,13,L 1
446,CLE,Toronto Raptors,W,144,99,20,13,W 1
447,CLE,New Orleans Pelicans,L,104,108,20,14,L 1
448,CLE,Washington Wizards,L,93,110,20,15,L 2
449,CLE,Atlanta Hawks,L,118,121,20,16,L 3
450,CLE,Indiana Pacers,W,108,104,21,16,W 1
451,CLE,Memphis Grizzlies,L,106,110,21,17,L 1
452,CLE,Portland Trail Blazers,W,114,101,22,17,W 1
453,CLE,Golden State Warriors,L,82,96,22,18,L 1
454,CLE,Sacramento Kings,W,109,108,23,18,W 1
455,CLE,Utah Jazz,W,111,91,24,18,W 2
456,CLE,San Antonio Spurs,W,114,109,25,18,W 3
457,CLE,Oklahoma City Thunder,W,107,102,26,18,W 4
458,CLE,Brooklyn Nets,W,114,107,27,18,W 5
459,CLE,Chicago Bulls,L,104,117,27,19,L 1
460,CLE,Oklahoma City Thunder,W,94,87,28,19,W 1
461,CLE,New York Knicks,W,95,93,29,19,W 2
462,CLE,Milwaukee Bucks,W,115,99,30,19,W 3
463,CLE,Detroit Pistons,L,105,115,30,20,L 1
464,CLE,New Orleans Pelicans,W,93,90,31,20,W 1
465,CLE,Houston Rockets,L,104,115,31,21,L 1
466,CLE,Charlotte Hornets,W,102,101,32,21,W 1
467,CLE,Indiana Pacers,W,98,85,33,21,W 2
468,CLE,San Antonio Spurs,W,105,92,34,21,W 3
469,CLE,Indiana Pacers,W,120,113,35,21,W 4
470,CLE,Philadelphia 76ers,L,93,103,35,22,L 1
471,CLE,Atlanta Hawks,L,116,124,35,23,L 2
472,CLE,Detroit Pistons,L,103,106,35,24,L 3
